開放漢世詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界語］
豪宅	hao2 zhai2	domego
豪豬	hao2 zhu1	histriko (mambesto)
好	hao3	bona
好不好	hao3 bu5 hao3	ĉu bona?
好吃	hao3 chi1	bongusta
好處	hao3 chu4	avantaĝo
好久	hao3 jiu3	longatempe
好痛	hao3 tong4	aj!
好玩	hao3 wan2	amuza
好像	hao3 xiang4	ŝajni; ŝajni ke
好笑	hao3 xiao4	ridiga
好用	hao3 yong4	utila
好運	hao3 yun4	bonŝanco
號	hao4	numero
浩劫	hao4 jie2	katastrofo
好客	hao4 ke4	gastama
號碼	hao4 ma3	numero
好奇	hao4 qi2	scivola
喝	he1	trinki
喝酒	he1 jiu3	drinki; drinki alkoholon
喝醉	he1 zui4	ebriiĝi
喝醉了	he1 zui4 le5	ebria
和	he2	kaj
河	he2	la Flava Rivero
荷	he2	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
河	he2	rivero
和	he2	japana
核	he2	semo
河北	he2 bei3	Hebejo; provinco de Ĉinio
合唱團	he2 chang4 tuan2	ĥoro
核電廠	he2 dian4 chang3	atomkerna centralo; nuklea centralo
核電站	he2 dian4 zhan4	atomkerna centralo; nuklea centralo
荷爾蒙	he2 er3 meng2	hormono
荷爾蒙失衡	he2 er3 meng2  shi1 heng2	hormona malekvilibro
合法	he2 fa3	laŭleĝa
核反應	he2 fan3 ying4	(fiz) nuklea reakcio
合肥	he2 fei2	Hefejo; ĉefurbo de la ĉina provinco Anhujo
核分裂	he2 fen1 lie4	(fiz) atomkerna fisio; kernofendado; nuklea fendiĝo
核果	he2 guo3	kernofrukto
荷花	he2 hua1	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
核聚變	he2 ju4 bian4	(fiz) fuzio; nuklea kunfandiĝo
荷蘭海芋	he2 lan2  hai3 yu4	(pla-sci) kalao; kalafloro (latine, Zantedeschia aethiopica)
荷蘭石竹	he2 lan2  shi2 zhu2	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
荷蘭石竹花	he2 lan2  shi2 zhu2 hua1	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
荷蘭文	he2 lan2 wen2	la nederlanda; la nederlanda lingvo
荷蘭語	he2 lan2 yu3	la nederlanda; la nederlanda lingvo
合理	he2 li3	rezona
河流	he2 liu2	rivero
河馬	he2 ma3	hipopotamo (mambesto)
河南	he2 nan2	Henano; provinco de Ĉinio
核能發電廠	he2 neng2  fa1 dian4 chang3	atomkerna centralo; nuklea centralo
和平	he2 ping2	paco
核融合	he2 rong2 he2	(fiz) fuzio; nuklea kunfandiĝo
合適	he2 shi4	konvena
核糖核酸	he2 tang2 he2 suan1	ribonukleata acido; RNA
核糖體	he2 tang2 ti3	ribosomo
核桃樹	he2 tao2 shu4	(pla-sci) juglandarbo; (latine, Juglans regia)
和諧	he2 xie2	harmonia; harmonio
和約	he2 yue1	packontrakto
合约	he2 yue1	kontrakto
盒子	he2 zi5	skatolo; ujo
合作	he2 zuo4	kunlabori
鶴	he4	gruo (birdo)
赫耳墨斯	He4 er3 mo4 si1	Hermeso (helena mitologio)
赫斐斯托斯	He4 fei1 si1 tuo1 si1	Hefesto (helena mitologio)
希拉	He4 la1	Hera (helena mitologio)
希拉克勒斯	He4 la1 ke4 le4 si1	Herakleo (helena mitologio)
赫斯提亞	He4 si1 ti2 ya4	Hestia (helena mitologio)
黑	hei1	nigra
黑	hei1	Hejlongĝjango; mallongiga formo de Hejlongĝjango
黑暗	hei1 an4	malluma
黑板	hei1 ban3	nigra tabulo
黑刺李	hei1 ci4 li3	(pla-sci) prunelarbo; (latine, Prunus spinosa)
黑刺李樹	hei1 ci4 li3 shu4	(pla-sci) prunelarbo; (latine, Prunus spinosa)
黑洞	hei1 dong4	(ast) nigra truo
黑客	hei1 ke4	kodumulo
黑龍江	hei1 long2 jiang1	Hejlongĝjango; provinco de Ĉinio
黑麥	hei1 mai4	sekalo
黑麵包	hei1 mian4 bao1	sekala pano; sekalpano
黑色	hei1 se4	nigra
黑色幽默	hei1 se4  you1 mo4	nigra humuro
黑檀木	hei1 tan2 mu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
黑檀木樹	hei1 tan2 mu4 shu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
黑檀樹	hei1 tan2 shu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
黑心菊	hei1 xin1 ju2	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
黑心菊花	hei1 xin1 ju2 hua1	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
很	hen3	tre
很抱歉	hen3  bao4 qian4	mi tre bedaŭras; pardonu min
很麻煩	hen3  ma2 fan2	tre ĝena
很煩	hen3 fan2	tre ĝena
很久	hen3 jiu3	longtempe; longatempe
很疼	hen3 teng2	aj!
很痛	hen3 tong4	aj!
很像	hen3 xiang4	simila
很有意思	hen3 you3 yi4 si5	multsignifa; interesega
恆齒	heng2 chi3	restanta dento
橫隔膜	heng2 ge2 mo2	(anat) diafragmo
恆星	heng2 xing1	stelo
訇	hong1	imamo
紅	hong2	populara
紅	hong2	ruĝa
紅矮星	hong2 ai3 xing1	(ast) red dwarf
紅豆杉	hong2 dou4 shan1	(pla-sci) taksuso; taksusarbo (latine, Taxus baccata)
紅豆杉樹	hong2 dou4 shan1 shu4	(pla-sci) taksuso; taksusarbo (latine, Taxus baccata)
紅鶴	hong2 he4	flamengo;  fenikoptero (birdo)
紅巨星	hong2 ju4 xing1	(ast) ruĝa giganto
虹膜	hong2 mo2	(anat) iriso
紅瑞木	hong2 rui4 mu4	(pla-sci) kornuso; kornusarbo (latine, Cornus)
紅色	hong2 se4	ruĝa
紅杉	hong2 shan1	(pla-sci) ruĝligno; ruĝa ligno; sekvojo; sekvojarbo (latine, Sequoia sempervirens)
紅杉樹	hong2 shan1 shu4	(pla-sci) ruĝligno; ruĝa ligno; sekvojo; sekvojarbo (latine, Sequoia sempervirens)
紅十字會	hong2 shi2 zi4 hui4	Ruĝa Kruco
紅樹	hong2 shu4	(pla-sci) mangrovo
紅樹林	hong2 shu4 lin2	(pla-sci) mangrovo
紅細胞	hong2 xi4 bao1	(anat) eritrocito; ruĝa sanga korpusklo
紅新月會	hong2 xin1 yue4 hui4	Ruĝa Krescento
紅星	hong2 xing1	(ast) ruĝa stelo
紅血球	hong2 xue4 qiu2	(anat) eritrocito; ruĝa sanga korpusklo
猴	hou2	simio (mambesto)
喉	hou2	(anat) laringo
喉	hou2	(anat) gorĝo
喉結	hou2 jie2	(anat) adampomo; gorĝa pomo
喉嚨	hou2 long2	(anat) gorĝo
猴麵包樹	hou2 mian4 bao1 shu4	(pla-sci) baobabo; baobabarbo (latine, Adansonia digitata)
喉頭	hou2 tou5	(anat) laringo
猴子	hou2 zi5	simio (mambesto)
後	hou4	malantaŭ
后	hou4	damo (ŝako)
厚	hou4	dika
後	hou4	post
後代	hou4 dai4	idaro; estontaj generacioj
後置詞	hou4 zhi4 ci2	postpozicio (gramatiko)
後綴	hou4 zhui4	sufikso (gramatiko)
忽必烈	Hu1 bi4 lie4	Kublaj Ĥano
呼格	hu1 ge2	vokativo; vokativa kazo (gramatiko)
呼和浩特	hu1 he2 hao4 te4	Huhehaŭteo; ĉefurbo de la ĉina provinco Interna Mongolio
忽然	hu1 ran2	subite; subita
忽視	hu1 shi4	ignori
呼吸	hu1 xi1	spiri
呼吸系統	hu1 xi1  xi4 tong3	spira sistemo
胡	hu2	(anat) barbo
狐	hu2	vulpo (mambesto)
蝴	hu2	papilio (insekto)
葫	hu2	(pla-sci) botelkukurbo; (latine, Lagenaria siceraria)
鶘	hu2	pelikano (birdo)
湖北	hu2 bei3	Hubejo; provinco de Ĉinio
蝴蝶	hu2 die2	papilio (insekto)
槲寄生	hu2 ji4 sheng1	(pla-sci) visko; (latine, Viscum album)
狐狸	hu2 li2	vulpo (mambesto)
葫蘆	hu2 lu5	(pla-sci) botelkukurbo; (latine, Lagenaria siceraria)
湖南	hu2 nan2	Hunano; provinco de Ĉinio
胡桃樹	hu2 tao2 shu4	(pla-sci) juglandarbo; (latine, Juglans regia)
鬍子	hu2 zi5	(anat) barbo
鬍子	hu2 zi5	(anat) lipharo
虎	hu3	tigro (mambesto)
虎鯨	hu3 jing1	orko; granda orcino; orcino (mambesto)
戶	hu4	pordo
滬	hu4	Ŝanŝjio; mallongiga formo de Ŝanŝjio
互聯網	hu4 lian2 wang3	interreto
護士	hu4 shi4	flegisto
互相…	hu4 xiang1	... unu la alian
互相	hu4 xiang1	unu la alian
護照	hu4 zhao4	pasporto
花	hua1	floro
花瓣	hua1 ban4	(plantoj) petalo
花苞	hua1 bao1	(plantoj) burĝono
花豹	hua1 bao4	leopardo (mambesto)
花朵	hua1 duo3	floro
花粉	hua1 fen3	(plantoj) poleno
花蕾	hua1 lei3	(plantoj) burĝono
花梨木	hua1 li2 mu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
花梨木樹	hua1 li2 mu4 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
花梨樹	hua1 li2 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
花楸	hua1 qiu1	(pla-sci) sorparbo; (latine, Sorbus aucuparia)
花楸樹	hua1 qiu1 shu4	(pla-sci) sorparbo; (latine, Sorbus aucuparia)
花園	hua1 yuan2	ĝardeno
華	hua2	Ĉinio; ĉina
華沙條約組織	hua2 sha1  tiao2 yue1  zu3 zhi1	Varsovia Traktato; Varsovia Kontrakto; (1955-1991 KE)
華語	hua2 yu3	la ĉina lingvo; ĉina; mandarena; "la ĉinula lingvo"
華約	hua2 yue1	(m-l) Varsovia Traktato; Varsovia Kontrakto
華約組織	hua2 yue1  zu3 zhi1	(m-l) Varsovia Traktato; Varsovia Kontrakto
畫	hua4	pentraĵo
樺	hua4	(pla-sci) betulo; betularbo (latine, Betula)
畫畫	hua4 hua4	pentri pentraĵon; pentri
畫家	hua4 jia1	pentristo
樺樹	hua4 shu4	(pla-sci) betulo; betularbo (latine, Betula)
話題	hua4 ti2	temo
化學	hua4 xue2	kemio
化學符號	hua4 xue2  fu2 hao4	kemia simbolo
化學元素	hua4 xue2  yuan2 su4	kemia elemento
化妝品	hua4 zhuang1 pin3	ŝminko
踝	huai2	(anat) maleolo
槐	huai2	(pla-sci) soforo; soforarbo (latine, Styphnolobium japonicum)
槐樹	huai2 shu4	(pla-sci) soforo; soforarbo (latine, Styphnolobium japonicum)
懷疑	huai2 yi2	dubi
壞	huai4	malbona
壞人	huai4	malbonulo
壞了	huai4 le5	rompita
壞透了	huai4 tou4 le5	terura
壞習慣	huai4 xi2 guan4	malbona kutimo
貛	huan1	melo (mambesto)
歡迎	huan1 ying2	bonvenon
還給	huan2 gei3	redoni
還錢	huan2 qian2	repagi
幻覺	huan4 jue2	iluzio
浣熊	huan4 xiong2	prociono (mambesto)
謊言	huang1 yan2	mensogo
凰	huang2	feniksino (mitologio); ina fenikso
黃	huang2	flava
蝗	huang2	akrido (insekto)
皇	huang2	imperiestro
黃矮星	huang2 ai3 xing1	(ast) flava nano
黃蘗	huang2 bo4	(pla-sci) filodendrono; (latine, Philodendron)
蝗蟲	huang2 chong2	akrido (insekto)
皇帝	huang2 di4	imperiestro
黃豆	huang2 dou4	sojfabo
黃蜂	huang2 feng1	vespo (insekto)
黃河	Huang2 he2	la Flava Rivero
黃色	huang2 se4	flava
黃鼠狼	huang2 shu3 lang2	mustelo (mambesto)
黃檀木	huang2 tan2 mu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
黃檀樹	huang2 tan2 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
黃銅	huang2 tong2	flava kupro
黃星	huang2 xing1	(ast) flava stelo
謊	huang3	mensogo
謊話	huang3 hua4	mensogo
灰	hui1	cindro
灰	hui1	polvo
灰	hui1	griza
灰色	hui1 se4	griza
灰樹	hui1 shu4	(pla-sci) frakseno; fraksenarbo (latine, Fraxinus)
回	hui2	Islama
回答	hui2 da2	respondi
回家	hui2 jia1	reiri hejmen
回教	hui2 jiao4	islamo
回教紀元	hui2 jiao4  ji4 yuan2	la Heĝiro
回教主	hui2 jiao4 zhu3	kalifo
回來	hui2 lai2	reveni
回歷	hui2 li4	la Islama kalendaro
回去	hui2 qu4	reiri
回聲	hui2 sheng1	postsono; resono; eĥo
迴文	hui2 wen2	palindromo (gramatiko)
毀滅	hui3 mie4	detrui
會	hui4	scipovi; povi
會	hui4	paroli; kompreni
會話	hui4 hua4	dialogo
彗星	hui4 xing1	(ast) kometo
會咽	hui4 yan4	(anat) epigloto
會厭	hui4 yan4	(anat) epigloto
會厭軟骨	hui4 yan4  ruan3 gu3	(anat) epigloto
會咽軟骨	hui4 yan4  ruan3 gu3	(anat) epigloto
會議	hui4 yi4	kunveno
婚禮	hun1 li3	edziĝo; edziniĝo
婚姻	hun1 yin1	edzeco
活動	huo2 dong4	agado
活潑	huo2 po1	viveca; gaja
鈥	huo3	(kem) holmio; la elemento holmio (Ho), atomnumero 67
火	huo3	fajro
火車	huo3 che1	trajno
火鍋	huo3 guo1	fajropoto; hogo
火雞	huo3 ji1	meleagro (birdo)
火箭	huo3 jian4	raketo
火警	huo3 jing3	brulavertilo
火山	huo3 shan1	vulkano
火衛一	huo3 wei4 yi1	(ast) Fobo; Marso I
火星	huo3 xing1	(ast) Marso; "Fajrostelo"
或	huo4	aŭ
貨車	huo4 che1	kamioneto
或然率	huo4 ran2 lv4	probablo
惑星	huo4 xing1	planedo
或者	huo4 zhe3	aŭ
肌	ji1	(anat) muskolo
雞	ji1	koko (birdo)
基本	ji1 ben3	baza
基本詞彙	ji1 ben3  ci2 hui4	morfemo (lingvistiko)
機場	ji1 chang3	flughaveno
機車	ji1 che1	motorciklo
基礎	ji1 chu3	fundo
基督教民主黨	ji1 du1 jiao4  min2 zhu3 dang3	Kristandemokratoj; (partio)
基督教徒	ji1 du1 jiao4 tu2	kristano
饑餓	ji1 e4	malsatega
機構	ji1 gou4	organizaĵo
激光	ji1 guang1	lasero
激光印表機	ji1 guang1  da3 yin4 ji1	lasera presilo
幾乎	ji1 hu1	preskaŭ
幾乎沒有	ji1 hu1  mei2 you3	preskaŭ nenio; preskaŭ neniu
饑荒	ji1 huang1	malsatego
機會	ji1 hui4	okazaĵo
機會率	ji1 hui4 lv4	probablo
積極	ji1 ji2	pozitiva
肌腱	ji1 jian4	(anat) tendeno
激進分子	ji1 jin4  fen4 zi3	radikalulo
機率	ji1 lv4	probablo
積木	ji1 mu4	briketoj; bloketoj
機器	ji1 qi4	maŝino
機器人	ji1 qi4 ren2	roboto
激情	ji1 qing2	pasio
肌肉	ji1 rou4	(anat) muskolo
雞肉	ji1 rou4	kokaĵo
肌肉系統	ji1 rou4  xi4 tong3	muskola sistemo
雞眼	ji1 yan3	kalo
基因	ji1 yin1	geno
肌組織	ji1 zu3 zhi1	(anat) muskola histo
疾	ji2	malsano
及	ji2	kaj
級	ji2	ŝtupo
吉	ji2	Ĝjilino; mallongiga formo de Ĝjilino
疾病	ji2 bing4	malsano
極端	ji2 duan1	ekstrema
吉林	ji2 lin2	Ĝjilino; provinco de Ĉinio
即使	ji2 shi3	malgraŭ; eĉ se
吉他	ji2 ta1	gitaro
及物動詞	ji2 wu4  dong4 ci2	transitiva verbo (gramatiko)
幾	ji3	kelka
脊	ji3	(anat) spina medolo
脊	ji3	(anat) vertebra kolono
幾倍	ji3 bei4	kelkoble
幾次	ji3 ci4	kelkfoje
幾點？	ji3 dian3	kioma horo estas?
幾點鐘？	ji3 dian3 zhong1	kioma horo estas?
幾個	ji3 ge5	kelkaj
脊骨	ji3 gu3	(anat) spina medolo
濟南	ji3 nan2	Ĝjinano; ĉefurbo de la ĉina provinco Ŝandongo
脊髓	ji3 sui3	(anat) spina medolo
幾歲	ji3 sui4	kiom aĝa (... estas)
脊柱	ji3 zhu4	(anat) vertebra kolono
脊椎動物	ji3 zhui1	vertebrulo
脊椎	ji3 zhui1	(anat) spino
脊椎骨	ji3 zhui1 gu3	(anat) spina medolo
薊	ji4	(pla-sci) kardo; (latine, Carduus)
冀	ji4	Hebejo; mallongiga formo de Hebejo
跡	ji4	spuro
記	ji4	memori
繼承	ji4 cheng2	heredi
計程車	ji4 cheng2 che1	taksio
繼承人	ji4 cheng2 ren2	heredanto
記得	ji4 de2	memori
寄給	ji4 gei3	sendi
計劃	ji4 hua4	plano
季節	ji4 jie2	sezono
寂寞	ji4 mo4	soleca
紀念	ji4 nian4	memorigi
紀念品	ji4 nian4 pin3	memoraĵo
技巧	ji4 qiao3	lerteco
既然	ji4 ran2	tial ke; ĉar
寄生物	ji4 sheng1 wu4	parazito
技術	ji4 shu4	tekniko
電腦	ji4 suan4 ji1	kalkulilo
繼續	ji4 xu4	daŭri; daŭrigi
記憶	ji4 yi4	memoro
紀元	ji4 yuan2	erao
記者	ji4 zhe3	ĵurnalisto
記住	ji4 zhu4	memori
家	jia1	hejmo
鎵	jia1	(kem) galiumo; la elemento galiumo (Ga), atomnumero 31
傢具	jia1 ju4	meblaro; mebloj
家人	jia1 ren2	familio
加上	jia1 shang4	aldoni
加州紅木	jia1 zhou1  hong2 mu4	(pla-sci) sekvojo; sekvojarbo (latine, Sequoia sempervirens)
頰	jia2	(anat) vango
鉀	jia3	(kem) kalio; la elemento kalio (K), atomnumero 19
假	jia3	malreala
甲蟲	jia3 chong2	skarabo (insekto)
甲狀腺	jia3 zhuang4 xian4	(anat) tiroida glando
價格	jia4 ge2	prezo
假日	jia4 ri4	ferio
駕駛	jia4 shi3	veturigisto
價值	jia4 zhi2	valoro; indo
肩	jian1	(anat) ŝultro
肩膀	jian1 bang3	(anat) ŝultro
堅持	jian1 chi2	insisti
肩胛骨	jian1 jia3 gu3	(anat) skapolo
尖叫	jian1 jiao4	kriegi
監牢	jian1 lao2	malliberejo
監獄	jian1 yu4	malliberejo
簡單	jian3 dan1	simpla
剪刀	jian3 dao1	tondilo
減少	jian3 shao3	malpliigi
簡直	jian3 zhi2	simple
健	jian4	sana
見	jian4	vidi
薦	jian4	rekomendi
箭	jian4	sago
鍵	jian4	klavo
腱	jian4	(anat) tendeno
見	jian4	renkonti
賤	jian4	fia
見到	jian4 dao4	vidi
間諜	jian4 die2	spiono
間接	jian4 jie1	pera; malrekta
間接賓語	jian4 jie1  bin1 yu3	nerekta objekto (gramatiko)
間接引語	jian4 jie1 yin3 yu3	nerekta parolo (gramatiko)
健康	jian4 kang1	sana
健康	jian4 kang1	sano; sana
見面	jian4 mian4	renkonti; renkontiĝi
見面	jian4 mian4	renkonti
鍵盤	jian4 pan2	klavaro
建設	jian4 she4	konstrui
建議	jian4 yi4	propono; proponi
建議	jian4 yi4	sugesti
建築物	jian4 zhu2 wu4	konstruaĵo
建築師	jian4 zhu4 shi1	arkitekto
江	jiang1	rivero
江	jiang1	la Jangzio-rivero
將來時	jiang1 lai2 shi2	futura tempo (gramatiko)
江蘇	jiang1 su1	Ĝjangsuo; provinco de Ĉinio
江西	jiang1 xi1	Ĝjangŝjio; provinco de Ĉinio
蔣介石	Jiang3  Jie4 shi2	Ĉiang Kai-ŝek
講世界語	jiang3  shi4 jie4 yu3	parolas esperanton; paroli esperante
講話	jiang3 hua4	paroli
將	jiang4	la generalo (ĉina ŝako)
降落傘	jiang4 luo4 san3	paraŝuto
教	jiao1	instrui
蕉	jiao1	(pla-sci) bananarbo; (latine, Musa acuminata)
驕傲	jiao1 ao4	fiera
狡猾	jiao1 hua2	ruza
交換	jiao1 huan4	interŝanĝi
教書	jiao1 shu1	instrui
膠水	jiao1 shui3	gluaĵo
交通	jiao1 tong1	trafiko
交通工具	jiao1 tong1  gong1 ju4	veturilo
腳	jiao3	(anat) piedo
腳脖子	jiao3 bo2 zi5	(anat) maleolo
腳步	jiao3 bu4	paŝo
腳底	jiao3 di3	(anat) plando
角度	jiao3 du4	angulo
腳跟	jiao3 gen1	(anat) kalkano
腳踝	jiao3 huai2	(anat) maleolo
角落	jiao3 luo4	angulo
角色	jiao3 se4  / jue2 se4	rolo
腳踏車	jiao3 ta4 che1	biciklo
絞刑	jiao3 xing2	pendumo
腳印	jiao3 yin4	piedspuro
腳趾甲	jiao3 zhi3 jia3	(anat) ungo
腳趾頭	jiao3 zhi3 tou5	(anat) piedfingro
教	jiao4	religio
叫	jiao4	nomiĝi
叫	jiao4	nomi
較	jiao4	pli
教科文組織	jiao4 ke1 wen2  zu3 zhi1	(m-l) Unesko
教室	jiao4 shi4	klasĉambro
教授	jiao4 shou4	profesoro
酵素	jiao4 su4	(anat) enzimo
叫醒	jiao4 xing3	veki
教育	jiao4 yu4	instruado; eduko
叫做	jiao4 zuo4	nomiĝi
階	jie1	ŝtupo
街道	jie1 dao4	strato
接骨木	jie1 gu3 mu4	(pla-sci) sambuko; sambukarbo (latine, Sambucus)
接骨木樹	jie1 gu3 mu4 shu4	(pla-sci) sambuko; sambukarbo (latine, Sambucus)
接骨樹	jie1 gu3 shu4	(pla-sci) sambuko; sambukarbo (latine, Sambucus)
接受	jie1 shou4	akcepti
階梯	jie1 ti1	ŝtuparo
接吻	jie1 wen3	kisi
睫	jie2	(anat) okulharo
結腸	jie2 chang2	(anat) kojlo
結締組織	jie2 di4  zu3 zhi1	(anat) kuniga histo
桔梗	jie2 geng3	(pla-sci) platikodono; platikodonfloro (latine, Platycodon grandiflorus)
桔梗花	jie2 geng3 hua1	(pla-sci) platikodono; (latine, Platycodon grandiflorus)
結構	jie2 gou4	strukturo
結果	jie2 guo3	rezulto
結婚	jie2 hun1	edziĝi; edziniĝi; geedziĝi
捷克語	jie2 ke4 yu3	la ĉeĥa; la ĉeĥa lingvo
睫毛	jie2 mao2	(anat) okulharo
節目	jie2 mu4	programo
節日	jie2 ri4	festo
結束	jie2 shu4	fini; ĉesi
解雇	jie3 gu4	maldungi
解決	jie3 jue2	solvi
解釋	jie3 shi4	klarigi; ekspliki
介詞	jie4 ci2	prepozicio (gramatiko)
借給	jie4 gei3	prunti al; pruntedoni al
藉口	jie4 kou3	preteksto
借錢	jie4 qian2	prunti monon; pruntepreni monon
介紹	jie4 shao4	prezenti
借書	jie4 shu1	prunti libron; pruntepreni libron
介意	jie4 yi4	zorgi
戒指	jie4 zhi5	ringo
今	jin1	hodiaŭ
金	jin1	(kem) oro; la elemento oro (Au), atomnumero 79
金	jin1	ora
金	jin1	la Ĝin-dinastio; Dinastio Ĝin
津	jin1	Tjanĝino; mallongiga formo de Tjanĝino
金	jin1	orkolora
金朝	jin1 chao2	Ĝin-dinastio; Dinastio Ĝin; 1115-1234 KE
金芙蓉	jin1 fu2 rong2	(pla-sci) tropeolo; tropeolfloro (latine, Tropaeolum)
金芙蓉花	jin1 fu2 rong2 hua1	(pla-sci) tropeolo; tropeolfloro (latine, Tropaeolum)
金光菊	jin1 guang1 ju2	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
金光菊花	jin1 guang1 ju2 hua1	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
金合歡	jin1 he2 huan1	(pla-sci) akacio; akaciarbo (latine, Acacia)
金合歡樹	jin1 he2 huan1 shu4	(pla-sci) akacio; akaciarbo (latine, Acacia)
金蓮花	jin1 lian2 hua1	(pla-sci) tropeolo; tropeolfloro (latine, Tropaeolum)
金鏈花	jin1 lian4 hua1	(pla-sci) orpluvo; laburno; orpluvfloro; laburnfloro (latine, Laburnum anagyroides)
金錢	jin1 qian2	mono
金色	jin1 se4	orkolora
金屬	jin1 shu3	metalo
今天	jin1 tian1	hodiaŭ
金星	jin1 xing1	(ast) Venuso; "Orostelo"
金魚草	jin1 yu2 cao3	(pla-sci) leonfaŭko; (latine, Antirrhinum majus)
金盞花	jin1 zhan3 hua1	(pla-sci) kalendulo; kalendulfloro (latine, Calendula officinalis)
金字塔	jin1 zi4 ta3	piramido
槿	jin3	(pla-sci) hibisko; hibiskfloro (latine, Hibiscus syriacus)
緊	jin3	strikta
緊張	jin3 zhang1	maltrankvila
晉	jin4	la Ĝin-dinastio
近	jin4	proksima
晉	jin4	Ŝanhajo; mallongiga formo de Ŝanhajo
進步	jin4 bu4	progreso; pliboniĝo
進步	jin4 bu4	progresi
進化	jin4 hua4	evoluo
進來	jin4 lai2	enveni
近來	jin4 lai2	lastatempe; antaŭ nelonge
進行	jin4 xing2	procedi
禁止	jin4 zhi3	malpermesi
京	jing1	Pekino; mallongiga formo de Pekino
京	jing1	ĉefurbo
鯨	jing1	baleno (mambesto)
經	jing1	ekonomio
睛	jing1	(anat) okulo
精彩	jing1 cai3	mirinda
經過	jing1 guo4	pasi
經合發組織	jing1 he2 fa1  zu3 zhi1	(m-l) Organizaĵo por Ekonomia Kunlaboro kaj Evoluo; (OEKD)
經濟	jing1 ji4	ekonomio
經濟合作發展組織	jing1 ji4  he2 zuo4  fa1 zhan3  zu3 zhi1	Organizaĵo por Ekonomia Kunlaboro kaj Evoluo; (OEKD)
經理	jing1 li3	administranto
經歷	jing1 li4	sperti
驚人	jing1 ren2	surpriza
精神	jing1 shen2	spirito
驚喜	jing1 xi3	surprizo
驚訝	jing1 ya4	surprizita
經驗	jing1 yan4	sperto
鯨魚	jing1 yu2	baleno (mambesto)
頸	jing3	(anat) kolo
景	jing3	pejzaĝo
頸	jing3	(anat) antaŭparto de kolo
警	jing3	polico
警察	jing3 cha2	policisto; policano
警察	jing3 cha2	polico
警察人員	jing3 cha2  ren2 yuan2	policisto; policano
警察局	jing3 cha2 ju2	policejo
頸動脈	jing3 dong4 mai4	karotida arterio
警告	jing3 gao4	averti; averto
警告	jing3 gao4	averti
頸靜脈	jing3 jing4 mai4	jugulara vejno
頸項	jing3 xiang4	(anat) kolo
鏡	jing4	spegulo
脛	jing4	(anat) kruro
脛骨	jing4 gu3	(anat) tibio
靖國神社	jing4 guo2  shen2 she4	Sanktejo Jasukuni; (en Tokio)
靜脈	jing4 mai4	(anat) vejno
競爭	jing4 zheng1	konkuri; konkurado
鏡子	jing4 zi5	spegulo
九	jiu3	naŭ (9)
酒	jiu3	alkoholo
久	jiu3	longatempe
酒吧	jiu3 ba1	trinkejo; drinkejo
九百	jiu3 bai3	naŭcent (900)
九百萬	jiu3 bai3 wan4	naŭ miliono (9 000 000)
九倍	jiu3 bei4	naŭoble
九次	jiu3 ci4	naŭfoje
九點	jiu3 dian3	la naŭa horo
九點鐘	jiu3 dian3	la naŭa horo
酒店	jiu3 dian4	taverno
九分之一	jiu3 fen1 zhi1 yi1	naŭono
酒鬼	jiu3 gui3	drinkulo; drinkemulo
酒精	jiu3 jing1	alkoholo; pura alkoholo
久久	jiu3 jiu3	longatempe
九千	jiu3 qian1	naŭ mil (9 000)
九千萬	jiu3 qian1 wan4	naŭdek miliono (90 000 000)
九十	jiu3 shi2	naŭdek (90)
九十八	jiu3 shi2 ba1	naŭdek ok (98)
九十二	jiu3 shi2 er4	naŭdek du (92)
九十九	jiu3 shi2 jiu3	naŭdek naŭ (99)
九十六	jiu3 shi2 liu4	naŭdek ses (96)
九十七	jiu3 shi2 qi1	naŭdek sep (97)
九十三	jiu3 shi2 san1	naŭdek tri (93)
九十四	jiu3 shi2 si4	naŭdek kvar (94)
九十萬	jiu3 shi2 wan4	naŭcent mil (900 000)
九十五	jiu3 shi2 wu3	naŭdek kvin (95)
九十一	jiu3 shi2 yi1	naŭdek unu (91)
九十億	jiu3 shi2 yi4	naŭ miliardo (9 000 000 000)
九萬	jiu3 wan4	naŭdek mil (90 000)
