開放世漢詞典

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）

［世界語］	［中文］
figarbeto	印度橡樹，印度榕，印度橡膠樹，印度榕樹
figarbo	無花果樹
fiinsektoj	害蟲
fikopii	抄襲
filiĉo	子
filikoplanto	羊齒
filmo	片，電影，片子
filo	子
filodendrono	蘗，喜林芋，黃蘗
filozofio	哲學
filozofo	哲學家
filtrilo	過濾器
finaĵo	詞尾
fine	終於，最後
finfine	終於
fingra osto	指骨
fingringo	頂針
fingro	手指，指
fingroartiko	指關節
fingropremaĵo	手印，指紋
fini	結束
finiĝo	詞尾
fipetola	不羈，肆無忌憚，無拘無束
fipetolemo	放肆，無拘無束
firakonto	下流的故事
fiŝo	魚
fiŝvergo	釣桿，釣魚桿
flamengo	紅鶴
flankokupo	嗜好
flava	黃，黃色
flava kupro	黃銅
flava nano	黃矮星
flava stelo	黃星
flegisto	護士
fleksebla	彈性
fleksio	詞形變化
fleo	梯牧草，貓尾草
floro	花朵，花
flua	流利
fluaĵo	流體
flughaveno	機場，飛機場
flugi	飛行
flugilo	翅，翼，翅膀
flugmaŝino	飛機
fluoro	氟
fluso	漲潮
fluto	長笛
Fobo	火衛一
foje	次
foko	海豹
folio	葉，葉子，樹葉
fonemo	音位，音素
fonetiko	語音學，發音學
fono	背景
fonologio	音韻學
fonto	來源
forgesi	忘記，忘
foriri	離，離開
forĵetaĵo	廢物
forĵeti	丟掉
forĵetindaĵo	廢物
forkuri	逃脫
formala	正式
formiko	螞蟻，蟻，螞
formo	形狀
formortinta	絕種
forno	爐竈，爐
forpreni	拿走
forsitifloro	連翹花，連翹
forsitio	連翹花，連翹
forta	強
forte	強烈
forto	力氣
forumo	論壇
forviŝi	擦掉
fosforo	磷
fosmaŝino	挖土機
foti	拍照
fotilo	照相機
foto	照片
fotografi	拍照
fotosintezo	光合作用
fraksenarbo	灰樹，梣樹，白蠟樹，梣
frakseno	白蠟樹，灰樹，梣樹，梣
francio	鈁
frapi	打
frapi sur la pordon	敲門
fraŭla	獨身
frazelemento	句子成分
frazero	片語，片語
frazo	片語，短語，句子，片語
fremda	陌生
fremdulo	陌生人
freneza	瘋狂
frenezulejo	瘋人院
frenezulo	瘋人，狂人，瘋子
freŝa	新鮮
fridujo	冰箱，電冰箱
fromaĝo	乳酪
frostigi	冰凍
frostigilo	冷凍庫
frostigita	冷凍
frotado	摩擦
froto	摩擦
frua	早
fruktarbo	果樹
frukto	水果
fruktodona	肥沃
frunta lobo	額葉
frunto	額，額頭
fuĝi	逃走
Fuĝjano	閩，福建
Fuĝoŭo	福州
fulmo	電，閃電
fulmotondro	雷電
fumi	吸，抽煙，抽，抽煙，吸煙
fumi cigaredon	抽煙
fumo	煙
fundo	基礎
funelo	漏鬥
funkcii	起作用
funkciigi	操作
funkcio	功能
furorlibro	暢銷書
furzi	放屁
furzo	屁
fuŝi	搞砸，弄糟，搞壞
fusilo	步槍
fuŝita	糟糕的，壞了的
fuŝkontakto	短路
fuŝpalpi	摸索，弄亂，摸弄
futura tempo	將來時
fuzio	核聚變，核融合
gado	鱈魚，鱈
gadolinio	釓
gaja	活潑
Gaja	蓋婭
gajni monon	賺錢
gala veziko	膽囊，膽
galaksio	星系
Galaksio	銀河系，銀河
galiumo	鎵
galveziko	膽，膽囊
gambo	腿
ĝangalo	叢林
Gansuo	甘，甘肅
ganto	手套
garantii	保證
ĝardeno	花園
gardisto	衛兵
gasigi	氣化
gaso	瓦斯，氣體
gastama	好客
gasti	做客
gasto	客人
gazeto	新聞報紙，報紙，報
gazono	草坪
geedziĝi	結婚
Ĝeĝjango	浙江，浙
gejo	同志
geko	壁虎
ĝemeloj	雙胞胎
gemo	寶石
ĝena	麻煩，煩
ĝenaĵo	麻煩
generacio	一代，代
ĝenerala asembleo	大會
Ĝenerala Relativeco	廣義相對論
ĝenerala sekretario	秘書長
Ĝenerala Sekretario de UN	聯合國秘書長
Ĝengĝoŭo	鄭州
Ĝenĝis Ĥano	成吉思汗
ĝeni	麻煩，打擾，煩
genitiva kazo	屬格
genitivo	屬格
geniulo	天才
geno	基因
ĝeno	麻煩
genro	性
ĝentila	客氣，禮貌
genuo	膝蓋
geografio	地理
gepardo	獵豹
gepatra lingvo	母語
geranifloro	老鸛草
geranio	老鸛草
germanio	鍺
gerundo	動名詞
gesto	手勢
ĝi	它
ĝia	它的
ĝia propra	它自己的
giganta	巨大
giganta sekvojo	世界爺樹，世界爺，巨杉，巨杉樹
giganta stelo	巨星
giganto	巨人
gimnastiko	體操
ĝin	它
Ĝin-dinastio	金朝
Ĝingis-Ĥano	成吉思汗
ginkarbo	銀杏樹
ginko	銀杏樹
gipso	石膏
ĝirafo	長頸鹿
ĝis	拜拜
ĝis la revido	再見
ĝis nun	目前為止
gitaro	吉他
Ĝjangŝjio	贛，江西
Ĝjangsuo	江蘇，蘇
Ĝjilino	吉，吉林
Ĝjinano	濟南
glacimonto	冰山
glacio	冰
gladilo	熨鬥
glandoj	腺
glaso	杯子，杯，玻璃杯
glaso da akvo	一杯水
glata	潤滑
glavingo	劍鞘
glavo	劍
glitveturilo	雪橇
globskribilo	圓珠筆
gluaĵo	膠水
glukozo	葡萄糖
glumarko	貼紙
glutea muskolo	大臀肌
gluteo	臀，臀部，屁股
gluti	吞
ĝoja	樂，高興
ĝojo	樂
goo	圍棋
gorĝa pomo	喉結
gorĝo	喉，喉嚨，嚨
Ĝoŭ-dinastio	周朝
gramatika esprimo	語法術語
gramatiko	文法，語法
granatarbo	石榴樹
granda	大
Granda Eksplodo	大爆炸
granda orcino	虎鯨
granda pando	大貓熊，大熊貓
grandeco	大小
grandparte de	大部分的
grandvalora	貴重
grapfruktarbo	葡萄柚樹
grasa	肥，胖
grasa histo	脂肪組織
grasdika	肥胖
grasega	肥胖
gratulon	恭喜
grava	重要，嚴重
graveco	重要性
gravega	非常重要
gravita kampo	重力場，引力場，萬有引力場
gravito	重力，引力，重力相互作用，萬有引力
greka parolo	希臘話
grilo	蟋蟀，蟋，蟀
griza	灰，灰色
grundo	土壤
gruo	鶴
grupeto	小組
grupigi	組
grupo	小組，團體
Gŭangdongo	粵，廣東
Gŭangŝjio	桂，廣西
ĝui	享，享受
Gujĝoŭo	黔，貴州
Gujjango	貴陽
gumarbo	印度榕樹，印度榕，印度橡膠樹，印度橡樹
gumo	橡皮擦
ĝusta	對，正確
ĝustigi	調整
gusto	口味，味，味道
gustumi	嘗，尝试
gvidi	指導
gvidisto	導游
Hadeso	哈迪斯
hafnio	鉿
Hajkou	海口
hajlero	雹石，冰雹
hajlo	冰雹
Hajnano	瓊，海南島，海南
halti	停止
Han-dinastio	漢朝
hanĉino	漢人
Hangĝoŭo	杭州
hara foliklo	毛囊
hararo	頭髮，發
Harbino	哈爾濱
harfoliklo	毛囊
harmonia	和諧
harmonio	和諧
haro	頭髮，發，一根頭髮，毛
harplektaĵoj	辮，辮子
haŭto	皮膚
haŭto	膚，皮，皮膚
haŭtveziketo	水皰
haveno	海港
havi	有
havi bonŝancon	走運
havi nur	只有
hazarda	偶然
Hebejo	河北，冀
hebrea parolo	希伯來話
hedero	常春藤
Hefejo	合肥
Hefesto	赫斐斯托斯
hegemonio	霸權
heĝo	灌木
Hejlongĝjango	黑，黑龍江
hejme	在家
hejmo	家
hejmtasko	作業，功課
helena mitaro	希臘神話
helena mitologio	希臘神話
heliantfloro	嚮日葵，葵花，葵
helianto	嚮日葵，葵，葵花
heliko	蝸牛，蝸
heliumo	氦
helpanto	幫手，助理
helpi	幫忙
helpo	幫助
helpverbo	助動詞
hemisfero	半球
hemoglobino	血紅素，血紅蛋白，血色素
Henano	河南，豫
hepato	肝臟，肝
Hera	希拉，天後希拉
Herakleo	海格力斯，希拉克勒斯
herbo	青草，草，草本
heredaĵo	遺產
heredanto	繼承人
heredi	繼承
Hermeso	赫耳墨斯
heroo	英雄
Hestia	赫斯提亞
hibiskfloro	木槿，槿
hibisko	槿，木槿
hidrargo	汞，水銀
hidrogeno	氫
hieraŭ	昨，昨天
higieno	衛生
hinduismo	印度教
hiperiko punktita	貫葉連翹
hipnoto	催眠術
hipofizo	腦垂腺
hipokampo	海馬
hipokaŝtanarbo	七葉樹，馬慄樹
hipokaŝtano	馬慄樹，七葉樹
hipopotamo	河馬
hirudo	蛭，螞蟥，水蛭，螞
hirundo	燕，燕子
hiskiamo	天仙子，莨菪
histo	組織
historio	史，歷史
histriko	豪豬
hobio	嗜好
hodiaŭ	今，今天
hogo	火鍋
holmio	鈥
homa korpo	軀，人體，身軀
homamaso	人群
homaro	人類
homo	人，人類
homportilo	擔架床
honesta	誠實
Honkongo	香港，港
Honkongo Speciala Administra Regiono	香港特別行政區
honta	慚愧
horaro	時間表，行程
hordeo	大麥
horizonto	地平線
horloĝeto	手錶
horloĝo	時鐘，鐘
hormona malekvilibro	荷爾蒙失衡
hormono	荷爾蒙
ĥoro	唱詩班，合唱團
horo	時，小時，鐘頭
hortensifloro	繡球花，洋繡球花，紫陽花，八仙花
hortensio	紫陽花，繡球花，八仙花，洋繡球花
hotelo	飯店
Hubejo	鄂，湖北
hufferi	釘蹄鐵
huffero	馬蹄鐵
hufo	蹄
Huhehaŭteo	呼和浩特
humida	潮濕
humoro	脾氣，心情
humura	幽默
humuro	幽默感
Hunano	湖南，湘
hundo	狗
iafoje	有時候
iam	曾經
ida	小
idaro	子，子孫，後代
ideala	理想
identa	相同
ideo	主意
ideografiaĵo	字
idiotisma esprimo	習慣用語
idiotismo	習慣用語，成語，習慣語
ido	子，孩子
idolo	偶像
ie ajn	哪裡都
igi	使，導致，令
iĝi	成，變，成為，變成
ignori	忽視
Ikaro	伊卡洛斯
ila kazo	工具格
ili	她們，他們，它們
ili mem	他們自己
ilia	她們的，他們的，它們的
ilia propra	它們自己的，她們自己的，他們自己的
ilin	他們，它們，她們
ilo	工具
iluziisto	魔術師
iluzio	幻覺
imagi	想象
imago	想象力
imamo	阿訇，訇
imiti	模仿
imperativa formo	命令式
imperativa frazo	命令語句
imperativa modo	祈使語氣，命令語氣
imperativo	祈使
imperiestro	帝，皇帝，皇
imperio	帝國
impona	給人深刻印象的，令人難忘的，令人印象深刻的
imposto	稅
impreso	印象
impulsiĝema	衝動
imuna sistemo	免疫系統
ina	陰性，母，女性，雌
ina fenikso	凰
ina genro	陰性
ina substantivo	陰性名詞
ina vorto	陰性詞
incizivo	門齒
indekso	索引
indikativo	陳述式
indikativo modo	直述語氣，陳述語氣，直說法
indio	銦
indo	價值
Indonezio	印尼，印度尼西亞
industrio	工業
infaneto	嬰兒，小孩
infano	孩子
infekta	傳染
infekti	感染
infero	地獄
infinitiva modo	不定式語氣
infinitiva verbo	動詞不定式
infinitivo	不定式
informaĵo	資料
informi	報導
informo	資料
inĝeniero	工程師
ingredienco	成分
injekto	註射
inkluzive	包括，包括
inkluzive de	包括，包括
inko	墨水
inkŝpruca presilo	噴墨印表機
ino	女人
inseksa	雌性，雌，女性
insekto	蟲，蟲子，昆蟲
insisti	堅持
inspiraĵo	靈感
inspiro	靈感
instiga kaŭzo	動機
instinkto	本性
instruado	教育
instrui	教書，教
instruisto	老師，師
instrumentala kazo	工具格
instrumentalo	工具格
instrumento	儀器
insulo	島嶼
insulti	侮辱
insulto	侮辱
intence	故意
intence aŭ senintence	有意無意
inter	之間
interbatiĝi	打架
interesa	有意思，有趣
interesega	很有意思
intereso	興趣
interjekcio	感嘆詞
intermeti	干涉
intermeto	干擾
Interna Mongolio	內蒙古，蒙
internacia	國際
Internacia Atom-Energia Agentejo	國際原子能機構
Internacia Banko por Rekonstruado kaj Disvolvado	國際復興開發銀行
internacia juro	國際法
Internacia Krima Kortumo	國際刑事法庭
internacia leĝo	國際法
Internacia Mona Fonduso	國際貨幣基金組織，國際貨幣基金
Internacia Movado de la Ruĝa Kruco kaj Ruĝa Krescento	國際紅十字與紅新月運動
internacia organizaĵo	國際組織
Internacia Organizo por Normigado	國際標準化組織
interne	裏面
interogativo	疑問代詞
interparolado	對話
interpunkcia signo	標點符號
interpunkcii	標點
interpunkcio	標點法
interreto	互聯網
interŝanĝi	交換
intesto	腸，大腸
intima	親
intuicio	直覺
investi	投資
inviti	邀請
io ajn	什麼都
iom da	一點兒，一點
iom da akvo	一點水，一點兒水
iom da mono	一點錢，一點兒錢
iomete	一點點
ipomefloro	喇叭花，牽牛花
ipomeo	喇叭花，牽牛花
iri	去
iridfloro	鳶尾花
iridio	銥
irido	鳶尾花
iriso	虹膜
Islama	回
islamano	清真教徒
islamo	伊斯蘭教，回教，清真教
iterbio	鐿
itrio	釔
iu ajn	誰都，任何
iu tago	一天，有一天
iufoje	有時候
iuj	一些，些
izola	孤立
izolilo	絕緣體
izotopo	同位素
ja	確，的確，確實
jaguaro	美洲豹
Jalta Konferenco	雅爾塔會議
ĵaluza	妒嫉
jam	已經，已
jam ne	不再
jam ne...	不再…了
januaro	一月
japana	和
japana parolo	日本話
Japanio	日本
jarcento	世紀
Jarcento de la Lumoj	啟蒙時代
jarlibro	年鑒，年刊
jaro	年
jasmenfloro	茉莉花，莉，茉，茉莉
jasmeno	茉莉花，莉，茉莉，茉
ĵaŭdo	星期四，周四，四，禮拜四
Jazono	伊阿宋
jenaj	下列
jes	是的
ĵeti pilkon	扔球
jido	意第緒語
Jinĉŭan	銀川
jodo	碘
Johana herbo	貫葉連翹
ju pli granda, des pli bona	越大越好
ju pli malgranda, des pli bona	越小越好
ju pli malmultaj, des pli bona	越少越好
ju pli multaj, des pli bona	越多越好
ju pli... des pli...	越…越…
Jŭan-dinastio	元朝
judismo	猶太教
juĝejo	法庭
juĝisto	法官
juglandarbo	核桃樹，胡桃樹
jugulara vejno	頸靜脈
julio	七月
juna	年輕
Junano	滇，雲南
junio	六月
juniperarbo	檜樹，檜木，杜松樹，檜，刺柏，檜木樹，刺柏樹，杜松
junipero	杜松樹，刺柏，檜樹，檜，檜木樹，檜木，刺柏樹，杜松
junko	燈心草
Junona	朱諾
junulo	青年
Jupitero	朱庇特，木星
jupo	裙子
ĵurio	陪審團
ĵuristo	陪審員
ĵurnalisto	新聞記者，記者
ĵurnalo	報紙
juro	法
ĵus	剛剛，剛，剛纔
justa	公平
justeco	正義
kablo	鋼索
kadmio	鎘
kadro	框架，結構，框
kafejo	咖啡廳，咖啡館
kafeterio	食堂
kafo	咖啡
kaĝo	籠子
Kaira Deklaracio	開羅宣言
kaj	且，與，同，而，而且，以及，和，及
kakto	仙人掌
kalafloro	馬蹄蓮花，白海芋，水芋花，海芋，荷蘭海芋，海芋花，水芋，馬蹄蓮，白海芋花
kalao	水芋花，水芋，海芋，白海芋，馬蹄蓮花，荷蘭海芋，白海芋花，馬蹄蓮，海芋花
kalcio	鈣
kalemburo	雙關語
kalendaro	曆，日曆
kalendulfloro	萬壽菊花，萬壽菊，金盞花
kalendulo	萬壽菊，金盞花，萬壽菊花
kalifo	回教主
kalifornio	鐦
kalio	鉀
kalkano	腳跟
kalkulilo	電腦
kalo	雞眼
kalsono	內褲
kamarado	同志
kameleono	變色龍
kamelifloro	茶花，山茶花
kamelio	山茶花，茶花
kamelo	駱駝，駝
kameno	壁爐
kamentubo	煙囪
kamforarbo	樟樹，樟
kamioneto	貨車
kamiono	卡車
kamomilfloro	甘菊花
kamomilo	甘菊花
kamparano	農民
kampodometo	別墅
kampulo	農人
kanabo	麻，大麻
kanalo	頻道，電臺
kandelingo	燭台
kandelo	蠟燭
kanino	犬齒
kano	蘆葦，蘆，葦
kanti	唱歌
kantisto	歌手
kanto	謠，歌曲
Kantono	廣州
kantstilo	腔
kapableco	能力
kapablo	能力
kapacitanco	電容
kapacito	容量
kapdoloro	頭痛
kaphararo	頭髮
kaphaŭteroj	頭皮屑
kapitulaci	投降
kapjesi	點頭
kapkuseno	枕頭
kapnei	搖頭
kapo	首，頭部，頭
kapro	山羊
kaptilo	陷阱
kaptuko	頭巾
kapturna	頭暈
kapturniga	令人暈眩，令人頭暈
karaktero	性
karbono	碳
kardiovaskula sistemo	心血管系統
kardo	薊
kariero	事業，生涯
kariofilo	丁香
karobarbo	稻子豆
karotida arterio	頸動脈
karpaj ostoj	腕骨
karpo	鯉，鯉魚
kartilago	軟骨
karto	地圖，卡片，片
kartono	硬紙板
karulino	女朋友
karulo	男朋友
kaŝita	隱
kasko	頭盔
kaŝludo	捉迷藏
kaŝtanarbo	慄子樹，慄樹
kastelo	城堡
kastoro	海狸
kata mento	貓薄荷
katastrofo	浩劫
katido	小貓
katino	母貓
kato	貓
katolikismo	天主教
kaŭĉukarbo	橡膠樹
kaŭĉuko	橡膠
kaŭri	蹲下
kaŭzi	導致
kaŭzo	原因，理由
kava	中空
kavetoj	酒窩
kavo	洞穴，窟，窿，洞，窟窿，腔，穴
kazino	賭場
kazo	格
KE	公元，西元
kelka	幾
kelkaj	幾個
kelkfoje	幾次
kelkoble	幾倍
kelo	地下室，地窖
kemia elemento	化學元素
kemia simbolo	化學符號
kemio	化學
kernofendado	核分裂
kernofrukto	核果
kesto	箱
kia	什麼樣，哪種
kia speco	哪種，哪一種
kial ne	為什麼不
kial?	為什麼
kialo	理由
kiam	時，的時候
kiam?	什麼時候
kie	哪裡
kiel	怎麼
kies	誰的
kinejo	電影院
kineta energio	動能
kio	哪個
kio?	什麼
kiom	多少
kiom aĝa	幾歲
kiom da	多少
kiom multa	多少
kioma horo estas?	幾點鐘？，幾點？
kirurgo	外科醫生
kisi	接吻，親嘴，吻，親，親親
kiu speco de	哪種
kiu?	誰
klara	清，清楚
klare	明明
klarigi	解釋
klarigo	說明
klasĉambro	教室
klavaro	鍵盤
klaviklo	鎖骨
klavo	鍵
klematidfloro	鐵線蓮花，鐵線蓮
klematido	鐵線蓮花，鐵線蓮
kliento	客戶，顧客
klimato	氣候
kloro	氯
klorofilo	葉綠素
kloroplasto	葉綠體
kloŝfloro	風鈴草，風鈴草花
knabino	女孩子
knabo	男孩子
koalo	無尾熊
kobalto	鈷
kobro	眼鏡蛇
kodo	密碼
kodumulo	黑客
kojlo	結腸
kojnodento	犬齒
kokaĵo	雞肉
kokcigo	尾骨
kokcinelo	瓢蟲
koketi	調情
kokido	小雞
kokino	母雞
koko	雞
kokosarbo	椰，椰子樹
kokso	髖骨，髖
kolĉeno	項鏈
kolegio	學院
kolera	生氣
koleregigi	氣死
kolerigi	惹生氣
kolero	氣
kolhararo	鬃，馬鬃，鬃毛
kolhararo de ĉevalo	馬鬃
kolo	脖，項，脖子，頸，頸項
kolombio = niobo	鈳
kolombo	白鴿
kolonio	殖民地
koloro	顏色
koltuko	圍巾
kombilo	梳子
komedio	喜劇
komenci	開始
komerci	做生意
komerco	商業
kometo	彗星，掃帚星
komforta	舒服
komitato	委員會
kompanio	公司
komparacia grado	比較級
komparativa adjektivo	比較級形容詞
komparativo	比較級
kompaso	指南針
kompati	同情
kompatinda	可憐
komplemento	補語
kompleza	親切
komplezema	親切
komplika	複雜
komplimento	恭維
kompoŝti	堆肥
kompoŝto	堆肥
komprenaĵo	概念
kompreneble	當然
kompreneco	理解力
kompreni	瞭解，懂，了，理解，會，明白
komputilo	電腦
komuniki	溝通
komuniko	溝通
komunismo	共產主義
komunumo	社區
Komunumo de Nacioj	英聯邦
koncedi	承認
koncepto	概念，觀念
koncerto	演唱會
kondiĉa frazo	條件句
kondiĉa modo	條件語氣
kondiĉa propozicio	條件從句
kondicionalo	條件語
kondiĉo	條件
kondukanto	導體
konduki	領導
konduktilo	導體
konduto	行為
konfesi	承認
konflikto	衝突
konfuzita	迷惑
koni	識，認，認識
konio makula	毒胡蘿蔔，毒堇
konjunkcio	連詞
konkurado	競爭
konkuri	競爭
konkurso	比賽
konscienco	良心
konscio	知覺，意識
konsenti	同意
konservema	保守
konsileto	提示，暗示
konsili	勸說，勸，相勸，勸告
konsilo	忠告
konsistigaĵo	成分
konsoli	安慰
konsonanta litero	輔音字母
konsonanto	輔音，子音
konstruaĵo	建築物
konstrui	建設
konsumanto	消費者
kontakti	聯繫到，聯絡上
kontakto	聯絡，聯繫
kontanto	現金
kontenta	滿意
kontentigi	滿足
kontinento	大陸
konto	賬戶
kontrakto	合约
kontraŭ	對面，對著
kontraŭdira	自相矛盾
kontraŭdiro	矛盾
kontraŭe	對面
kontraŭi	反對
kontraŭstarema	頑固，固執
kontraŭstari	抵抗
kontraŭulo	對手
kontribui	貢獻
kontroli	查看
konvena	合適
Konvencioj de Ĝenevo	日內瓦公約
konvinki	說服
kopii mane	抄寫
kopirajto	版權
kopulo	系詞
kora valvo	心瓣
korbato	心搏
korbeto	小籃子
korbo	籃子
korbopilko	籃球
kordo	繩子
kordoloro	心痛
korea skribo	韓文
Koreio	南韓
korekti	糾正
korelativa vorto	關聯詞
koridoro	走廊
korkokverkarbo	栓皮櫟，軟木橡樹
korkokverko	栓皮櫟，軟木橡樹
kornea	眼角膜
korniko	烏鴉，烏，鴉
kornusarbo	紅瑞木，山茱萸樹，山茱萸
kornuso	紅瑞木，山茱萸，山茱萸樹
koro	心臟，心
koronaria arterio	冠狀動脈
korpa kavo	腔
korpharo	毛
korplingvo	肢體語言
korpo	身，身體
korpremita	憂鬱
kortumo	法院，法庭
kosma spaco	太空
koŝmaro	魘，噩夢，惡夢，夢魘
koto	泥巴
kotonarbo	棉花，棉
kotono	棉花，棉布，棉
koverto	信封
kovrilo	蓋子
krabo	蟹，螃蟹，螃
kraĉaĵo	痰
krajono	錢幣
krajonpintigilo	削鉛筆器
kranio	顱，頭顱
kratagarbo	山楂，山查，查，楂
kratago	查，楂，山查，山楂
kravato	領帶
kredi	信，相信
kreditkarto	信用卡
kredito	信用
kreema	創意
krei	創造
kremo	奶油
kreskado	成長
kriegi	尖叫
krimulo	犯人
kripla	殘廢
kriptono	氪
Kristandemokratoj	基督教民主黨
kristano	基督教徒
kritiki	批評
krizantemfloro	菊花，菊
krizantemo	菊花，菊
krizo	危機
kroĉilo	鉤子
krokodilo	鱷魚，鱷
krom	除了…外，除了…以外，除，除了…之外，除外，除…外
krom se	除非
krome	再加上，而且，另
kromnomo	綽號
kromo	鉻
Krono	克洛諾斯
krono	冕，冠冕
krucmilitistoj	十字軍
krucmilitoj	十字軍東徵
kruela	殘忍
kruro	小腿，脛
kruta	陡峭
ksenono	氙
ksifio	旗魚
Kublaj Ĥano	忽必烈
kubuto	肘，手肘
kudrado	針線，針線活
kudraĵo	針線，針線活
kudrero	一針
kudri	縫紉，縫合
kudrilarkorbo	針線筐
kudrilarujo	針線盒
kudrilo	針
kudrilo kaj fadeno	針線
kudristino	女裁縫，針線工，做針線工的
kudrofadeno	縫紉線
kudromaŝino	縫衣機，縫紉機
kuglo	子彈
kuirejo	廚，廚房，出訪
kuirforno	爐竈
kuiristo	廚師
kuko	蛋糕
kukolo	鵑，杜鵑
kulero	湯匙
kulo	蠓蟲，小蟲
kulpa	有罪
kulpigi	指控，怪，責怪
kulpigito	被告
kulpiko	小蟲叮的包
kulturejo	農園
kulturkampo	農地
kulturo	文化
kun	跟
kundividi	分享
kune	一起
kuniga histo	結締組織
kuniklo	兔，兔子
kunlabori	合作
kunmetita vorto	複詞，複合詞
Kunmingo	昆明
kuntiriĝi	收縮
kunvenigi	帶來，使一道來
kunveno	會議
kupro	銅
kuracisto	醫生
kuraĝa	勇敢
kuraĝi	膽敢
kuraĝigi	鼓勵
kuraĝo	勇氣
kuriero	象
kuriumo	鋦
kurta cirkvito	短路
kurteno	窗廉
kuŝiĝi	躺下
kutima	平常
kutime	習慣了，通常，慣
kutimi	習慣，慣於
kutimo	風俗，習慣
kvadrata	正方形
kvadricepso	股四頭肌，四頭肌
kvalifiko	資格
kvalito	質，品質，質量
kvankam	雖然
kvar	四
kvar mil	四千
kvar miliardo	四十億
kvar miliono	四百萬
kvar minutoj	四分鐘
kvara	第四
kvarcent	四百
kvarcent mil	四十萬
kvarcent miliono	四億
kvardek	四十
kvardek du	四十二
kvardek kvar	四十四
kvardek kvin	四十五
kvardek kvin minutoj	四十五分鐘
kvardek mil	四萬
kvardek miliono	四千萬
kvardek minutoj	四十分鐘
kvardek naŭ	四十九
kvardek ok	四十八
kvardek sep	四十七
kvardek ses	四十六
kvardek tri	四十三
kvardek unu	四十一
kvardeka	第四十
kvarfoje	四次
kvarkapa muskolo	四頭肌，股四頭肌
kvaroble	四倍
kvaronhoro	一刻
kvarono	四分之一
kvarsigna ĉina esprimo	成語
kvarsigna idiotismo	成語
kvazaŭ	就像，就如
kverkarbo	櫟，橡，橡樹
kverko	橡樹，櫟，橡
kvieta	安靜
kvin	五
kvin mil	五千
kvin miliardo	五十億
kvin miliono	五百萬
kvin minutoj	五分鐘
kvina	第五
kvincent	五百
kvincent mil	五十萬
kvincent miliono	五億
kvindek	五十
kvindek du	五十二
kvindek kvar	五十四
kvindek kvin	五十五
kvindek mil	五萬
kvindek miliono	五千萬
kvindek naŭ	五十九
kvindek ok	五十八
kvindek sep	五十七
kvindek ses	五十六
kvindek tri	五十三
kvindek unu	五十一
kvindeka	第五十
kvinfoje	五次
kvinoble	五倍
kvinono	五分之一
la afrikansa	南非語
la afrikansa lingvo	南非語
la Aksaj Potencoj	軸心國
la albana	阿爾巴尼亞語
la albana lingvo	阿爾巴尼亞語
la Aliancanoj	同盟國
la angla	英語，英文
la angla lingvo	英文，英語
la araba	阿拉伯語，阿拉伯文，阿拉伯話
la araba lingvo	阿拉伯語，阿拉伯話，阿拉伯文
la aŭtuna ekvinokso	秋分
la bengala	孟加拉語
la bengala lingvo	孟加拉語
la birma	緬甸語
la birma lingvo	緬甸語
la Blanka Domo	白宮
la bulgara	保加利亞語
la bulgara lingvo	保加利亞語
la ĉeftero de Ĉinio	大陸，中國大陸
la ĉeĥa	捷克語
la ĉeĥa lingvo	捷克語
la Ĉiela Altaro	天壇
la Ĉin-dinastio	秦
la ĉina	中文，中國話，漢語
la ĉina lingvo	華語，漢語，中文，中國話
la ĉina parolo	中國話
la Ĉina Popola Respubliko	中國人民共和國
la Ĉina revolucio de 1911	辛亥革命
la ĉina urbo Ĉongĉingo	重慶
la ĉina urbo Tjanĝino	天津
la Ĉing-dinastio	清
la ĉinula lingvo	華語
la dana	丹麥語
la dana lingvo	丹麥語
la dek dua de aprilo	四月十二日，四月十二號
la dek dua de aŭgusto	八月十二號，八月十二日
la dek dua de decembro	十二月十二號，十二月十二日
la dek dua de februaro	二月十二號，二月十二日
la dek dua de januaro	一月十二日，一月十二號
la dek dua de julio	七月十二日，七月十二號
la dek dua de junio	六月十二日，六月十二號
la dek dua de majo	五月十二號，五月十二日
la dek dua de marto	三月十二號，三月十二日
la dek dua de novembro	十一月十二號，十一月十二日
la dek dua de oktobro	十月十二號，十月十二日
la dek dua de septembro	九月十二號，九月十二日
la dek kvara de aprilo	四月十四日，四月十四號
la dek kvara de aŭgusto	八月十四日，八月十四號
la dek kvara de decembro	十二月十四號，十二月十四日
la dek kvara de februaro	二月十四號，二月十四日
la dek kvara de januaro	一月十四日，一月十四號
la dek kvara de julio	七月十四日，七月十四號
la dek kvara de junio	六月十四號，六月十四日
la dek kvara de majo	五月十四日，五月十四號
la dek kvara de marto	三月十四號，三月十四日
la dek kvara de novembro	十一月十四號，十一月十四日
la dek kvara de oktobro	十月十四日，十月十四號
la dek kvara de septembro	九月十四日，九月十四號
la dek kvina de aprilo	四月十五號，四月十五日
la dek kvina de aŭgusto	八月十五日，八月十五號
la dek kvina de decembro	十二月十五日，十二月十五號
la dek kvina de februaro	二月十五號，二月十五日
la dek kvina de januaro	一月十五日，一月十五號
la dek kvina de julio	七月十五日，七月十五號
la dek kvina de junio	六月十五日，六月十五號
la dek kvina de majo	五月十五日，五月十五號
la dek kvina de marto	三月十五日，三月十五號
