开放汉世词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［中文］	［拼音］	［世界语］
伏尔甘	Fu2 er3 gan1	Vulkano (romia mitologio)
符号	fu2 hao4	signo
福建	fu2 jian4	Fuĝjano; provinco de Ĉinio
浮萍	fu2 ping2	(pla-sci) lemno; (latine, Lemna minor)
芙蓉	fu2 rong2	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
芙蓉花	fu2 rong2 hua1	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
扶桑花	fu2 sang1 hua1	(pla-sci) ĉina hibisko; ĉina hibiskfloro (latine, Hibiscus rosa-sinensis)
服务	fu2 wu4	servo; servi
福州	fu2 zhou1	Fuĝoŭo; ĉefurbo de la ĉina provinco Fuĝjano
辅音	fu3 yin1	konsonanto (lingvistiko)
辅音字母	fu3 yin1  zi4 mu3	konsonanta litero (lingvistiko)
腹	fu4	(anat) abdomeno
负全部责任	fu4  quan2 bu4  ze2 ren4	preni la tutan respondecon
腹部	fu4 bu4	(anat) abdomeno
复词	fu4 ci2	kunmetita vorto (gramatiko)
副词	fu4 ci2	adverbo (gramatiko)
付给	fu4 gei3	pagi
复合元音	fu4 he2  yuan2 yin1	diftongo (lingvistiko)
复合词	fu4 he2 ci2	kunmetita vorto (gramatiko)
腹肌	fu4 ji1	(anat) abdomenaj muskoloj
附近	fu4 jin4	proksimaĵo
父女	fu4 nv3	patriĉo kaj filino; patriĉofilina; patro kaj filino; patrofilina
付钱	fu4 qian2	pagi
复数	fu4 shu4	pluralo (gramatiko)
复数词尾	fu4 shu4  ci2 wei3	plurala finaĵo (gramatiko)
复数代词	fu4 shu4  dai4 ci2	plurala pronomo (gramatiko)
复数代名词	fu4 shu4  dai4 ming2 ci2	plurala pronomo (gramatiko)
复习	fu4 xi2	studi
复元音	fu4 yuan2 yin1	diftongo (lingvistiko)
复杂	fu4 za2	malsimpla; komplika
负责	fu4 ze2	respondeci pri
负责	fu4 ze2	respondeca
负责人	fu4 ze2 ren2	respondeculo
负责任	fu4 ze2 ren4	respondeci pri
父子	fu4 zi3	patriĉo kaj filiĉo; patriĉofiliĉa; patro kaj filo; patrofila
钆	ga2	(kem) gadolinio; la elemento gadolinio (Gd), atomnumero 64
该	gai1	devus
改变	gai3 bian4	ŝanĝi
钙	gai4	(kem) kalcio; la elemento kalcio (Ca), atomnumero 20
盖尔语	gai4 er3 yu3	la gaela; la gaela lingvo
概率	gai4 lv4	probablo
概念	gai4 nian4	komprenaĵo; koncepto; nocio
盖娅	Gai4 ya4	Gaja (helena mitologio)
盖子	gai4 zi5	kovrilo
肝	gan1	(anat) hepato
干	gan1	seka
甘	gan1	Gansuo; mallongiga formo de Gansuo
干	gan1	intermeti; sin intermeti; enmiksiĝi en
尴尬	gan1 ga4	embarasa; embarasita
干净	gan1 jing4	pura
甘菊花	gan1 ju2 hua1	(pla-sci) kamomilo; kamomilfloro (latine, Matricaria recutita)
干扰	gan1 rao3	enmiksiĝo; intermeto
干涉	gan1 she4	intermeti; sin intermeti; enmiksiĝi en
甘肃	gan1 su4	Gansuo; provinco de Ĉinio
肝脏	gan1 zang4	(anat) hepato
赶	gan3	rapidi
橄	gan3	(pla-sci) olivarbo; (latine, Olea europaea)
赶到	gan3 dao4	rapidi al
感到冒犯	gan3 dao4  mao4 fan4	ofendiĝi
感觉	gan3 jue2	sento
橄榄树	gan3 lan3 shu4	(pla-sci) olivarbo; (latine, Olea europaea)
感冒	gan3 mao4	malvarmumo
感染	gan3 ran3	infekti
感叹词	gan3 tan4 ci2	interjekcio (gramatiko)
赶往	gan3 wang3	rapidi al
干	gan4	trunko
赣	gan4	Ĝjangŝjio; mallongiga formo de Ĝjangŝjio
干细胞	gan4 xi4 bao1	(anat) trunka ĉelo; praĉelo
刚	gang1	ĵus
刚才	gang1 cai2	ĵus
刚刚	gang1 gang1	ĵus
钢琴	gang1 qin2	piano
钢索	gang1 suo3	kablo
钢铁	gang1 tie3	ŝtalo
港	gang3	Honkongo (Ŝianggango); mallongiga formo de Honkongo (Ŝianggango)
高	gao1	alta
高潮	gao1 chao2	alttajdo; altmaro
高大	gao1 da4	alta
高速公路	gao1 su4  gong1 lu4	ŝoseo
高兴	gao1 xing4	ĝoja
锆 	gao4	(kem) zirkonio; la elemento zirkonio (Zr), atomnumero 40
告别	gao4 bie2	adiaŭi
告诉	gao4 su4	rakonti; diri
鸽	ge1	livio (birdo)
胳臂	ge1 bei5	(anat) brako
胳膊	ge1 bo5	(anat) brako
歌剧	ge1 ju4	opero
歌曲	ge1 qu3	kanto
歌手	ge1 shou3	kantisto
胳肢窩	ge1 zhi1 wo1	(anat) subbrako; akselo
鸽子	ge1 zi5	livio (birdo)
格	ge2	kazo (gramatiko)
革	ge2	ledo
镉	ge2	(kem) kadmio; la elemento kadmio (Cd), atomnumero 48
隔壁	ge2 bi4	apuda; najbara
格变化	ge2 bian4 hua4	deklinacio (gramatiko)
阁楼	ge2 lou2	subtegmento; subtegmentejo
革命	ge2 ming4	revolucio
铬	ge4	(kem) kromo; la elemento kromo (Cr), atomnumero 24
个人	ge4 ren2	persona
个性	ge4 xing4	personeco
各种	ge4 zhong3	diversaj
给	gei3	doni
给…打电话	gei3 da3 dian4 hua4	doni al iu telefonvokon
给…看	gei3 kan4	montri
根	gen1	radiko
跟	gen1	kun
跟腱	gen1 jian4	(anat) Aĥila tendeno
跟…结婚	gen1 jie2 hun1	edziĝi kun...
根茎	gen1 jing1	(plantoj) rizomo
根据	gen1 ju4	basita sur
根状茎	gen1 zhuang4 jing1	(plantoj) rizomo
更	geng4	pli
更	geng4	eĉ pli
公	gong1	vira (besto); vir-
公	gong1	publika
工	gong1	laboro
工厂	gong1 chang3	fabrikejo
公车	gong1 che1	aŭtobuso
工程师	gong1 cheng2 shi1	inĝeniero
公共汽车	gong1 gong4  qi4 che1	aŭtobus
公鸡	gong1 ji1	virkoko
工具	gong1 ju4	ilo
工具格	gong1 ju4 ge2	instrumentalo; instrumentala kazo; ila kazo (gramatiko)
功课	gong1 ke4	hejmtasko
公马	gong1 ma3	virĉevalo
公猫	gong1 mao1	virkato
功能	gong1 neng2	funkcio
公牛	gong1 niu2	virbovo
公平	gong1 ping2	justa
工人	gong1 ren2	laboranto
公司	gong1 si1	kompanio
恭维	gong1 wei2	komplimento
恭喜	gong1 xi3	gratulon
公羊	gong1 yang2	virŝafo
工业	gong1 ye4	industrio
公用	gong1 yong4	publika
公用电话	gong1 yong4  dian4 hua4	publika telefono
公寓	gong1 yu4	apartamento
公园	gong1 yuan2	parko
西元	gong1 yuan2	de la komuna erao ;  KE
公元	gong1 yuan2	la Komuna Erao; KE
公元前	gong1 yuan2 qian2	antaŭ de la Komuna Erao; a.KE
西元前	gong1 yuan2 qian2	antaŭ la komuna erao ;  a.KE
公约	gong1 yue1	traktato
公主	gong1 zhu3	princino
工作	gong1 zuo4	laboro
工作	gong1 zuo4	labori
汞	gong3	(kem) hidrargo; la elemento hidrargo (Hg), atomnumero 80
共产主义	gong4 chan3 zhu3 yi4	komunismo
贡献	gong4 xian4	kontribui
沟通	gou1 tong1	komuniko; komuniki
钩吻	gou1 wen3	(pla-sci) venena sumako; (latine, Toxicodendron radicans)
钩子	gou1 zi5	kroĉilo
狗	gou3	hundo (mambesto)
狗獾	gou3 huan1	melo (mambesto)
够	gou4	suffiĉe
构词学	gou4 ci2 xue2	morfologio (lingvistiko)
孤儿	gu1 er2	orfo
孤儿院	gu1 er2 yuan4	orfejo
估计	gu1 ji4	taksi
孤立	gu1 li4	izola
孤挺花	gu1 ting3 hua1	(pla-sci) amarilido; amarilidfloro (latine, Amaryllis)
钴	gu3	(kem) kobalto; la elemento kobalto (Co), atomnumero 27
骨	gu3	(anat) osto
鼓	gu3	tamburo
股动脉	gu3 dong4 mai4	femura arterio
骨骼	gu3 ge2	(anat) skeleto; ostaro
骨骼系统	gu3 ge2  xi4 tong3	skeleta sistemo
骨架	gu3 jia4	(anat) skeleto; ostaro
古兰经	gu3 lan2 jing1	la Korano
古老	gu3 lao3	antikva
鼓励	gu3 li4	kuraĝigi
鼓膜	gu3 mo2	(anat) oretamburo; timpano
骨盆	gu3 pen2	(anat) pelvo
股票市场	gu3 piao4  shi4 chang3	borso
股四头肌	gu3 si4 tou2 ji1	(anat) kvadricepso; kvarkapa muskolo
骨髓	gu3 sui3	(anat) osta medolo
骨头	gu3 tou5	(anat) osto
骨组织	gu3 zu3 zhi1	(anat) ostohisto; osta histo
雇	gu4	dungi
固化	gu4 hua4	(fiz) solidigi
顾客	gu4 ke4	kliento
故事	gu4 shi4	rakonto
固体	gu4 ti3	(fiz) solido
固体	gu4 ti3	malfluido; solido
故意	gu4 yi4	intence
雇用	gu4 yong4	dungi
雇员	gu4 yuan2	dungito
固执	gu4 zhi2	kontraŭstarema; obstina
僱主	gu4 zhu3	dunganto
拐杖	guai3 zhang4	bastono
怪	guai4	kulpigi
怪	guai4	stranga
怪物	guai4 wu4	monstro; bestaĉo
冠	guan1	ĉapelo
官	guan1	oficisto
官	guan1	oficiala
关	guan1	fermi
官	guan1	oficista rango
关电灯	guan1  dian4 deng1	malŝalti lampon
关闭	guan1 bi4	fermi
观察	guan1 cha2	observi
冠词	guan1 ci2	artikolo (gramatiko)
关灯	guan1 deng1	malŝalti lampon
观点	guan1 dian3	vidpunkto
官方	guan1 fang1	oficiala
观光客	guan1 guang1 ke4	turisto
官话	guan1 hua4	mandarena; "la oficista lingvo"
关键	guan1 jian4	ŝlosila
关节	guan1 jie2	(anat) artiko
关联词	guan1 lian2 ci2	korelativa vorto (gramatiko)
关门	guan1 men2	fermi la pordon
冠冕	guan1 mian3	krono
观念	guan1 nian4	elpenso; vidpunkto; koncepto
关于	guan1 yu2	pri
冠状动脉	guan1 zhuang4  dong4 mai4	koronaria arterio
管	guan3	tubo
管	guan3	zorgi
管理	guan3 li3	administri
惯	guan4	kutime
冠	guan4	surmeti; surmeti ĉapelon
灌木	guan4 mu4	(pla-sci) heĝo
罐头	guan4 tou5	ladskatolo
贯叶连翘	guan4 ye4 lian2 qiao4	(pla-sci) hiperiko punktita; Johana herbo; (latine, Hypericum perforatum)
惯于	guan4 yu2	kutimi
光	guang1	lumo
胱	guang1	(anat) urinveziko
光碟	guang1 die2	lumdisko
光合作用	guang1 he2  zuo4 yong4	fotosintezo
光幻觉	guang1 huan4 jue2	optika iluzio
光年	guang1 nian2	lumjaro
光盘	guang1 pan2	lumdisko
光速	guang1 su4	lumrapido
光学	guang1 xue2	optiko
光学幻觉	guang1 xue2  huan4 jue2	optika iluzio
广	guang3	larĝa
广播	guang3 bo1	elsendi
广场	guang3 chang3	placo
广东	guang3 dong1	Gŭangdongo; provinco de Ĉinio
广东话	guang3 dong1 hua4	la kantona; la kantona lingvo
广告	guang3 gao4	anonco; reklamo
广告牌	guang3 gao4 pai2	afiŝtabulo
广西	guang3 xi1	Gŭangŝjio; provinco de Ĉinio
广义相对论	guang3 yi4  xiang1 dui4 lun4	(fiz) Ĝenerala Relativeco
广州	guang3 zhou1	Kantono; ĉefurbo de la ĉina provinco Gŭangdongo
广州话	guang3 zhou1 hua4	la kantona lingvo
硅	gui1	(kem) silicio; la elemento silicio (Si), atomnumero 14
瑰	gui1	(pla-sci) rozo; rozfloro (latine, Rosa rugosa)
鲑	gui1	salmo (fiŝo)
归类	gui1 lei4	enklasigi
鲑鱼	gui1 yu2	salmo (fiŝo)
规则	gui1 ze2	regulo
鬼	gui3	fantomo
鬼	gui3	ulo (nea vorto); ulaĉo
鬼魂	gui3 hun2	fantomo
诡计	gui3 ji4	ruzo; ruzaĵo
贵	gui4	multekosta
桂	gui4	Gŭangŝjio; mallongiga formo de Gŭangŝjio
桧	gui4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
桂	gui4	(pla-sci) osmantofloro
柜橱	gui4 chu2	bretaro
桂花	gui4 hua1	(pla-sci) osmantofloro
桂花树	gui4 hua1 shu4	(pla-sci) osmanto; osmantarbo (latine, Osmanthus fragrans)
桧木	gui4 mu4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
桧木树	gui4 mu4 shu4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
桧树	gui4 shu4	(pla-sci) junipero; juniperarbo (latine, Juniperus)
贵阳	gui4 yang2	Gujjango; ĉefurbo de la ĉina provinco Gujĝoŭo
贵重	gui4 zhong4	grandvalora
贵州	gui4 zhou1	Gujĝoŭo; provinco de Ĉinio
贵族政治	gui4 zu2  zheng4 zhi4	aristokrataro
滚烫	gun3 tang4	bruliga
国	guo2	lando
国歌	guo2 ge1	nacia himno
国际	guo2 ji4	internacia
国际标准化组织	guo2 ji4  biao1 zhun3 hua4  zu3 zhi1	Internacia Organizo por Normigado
国际法庭	guo2 ji4  fa3 ting2	la Internacia Kortumo de Justeco
国际法院	guo2 ji4  fa3 yuan4	la Internacia Kortumo de Justeco
国际复兴开发银行	guo2 ji4  fu4 xing1  kai1 fa1  yin2 hang2	Internacia Banko por Rekonstruado kaj Disvolvado; Monda Banko
国际红十字与红新月运动	guo2 ji4  hong2 shi4 zi4  yu3  hong2 xin1 yue4  yun4 dong4	Internacia Movado de la Ruĝa Kruco kaj Ruĝa Krescento
国际货币基金	guo2 ji4  huo4 bi4  ji1 jin1	Internacia Mona Fonduso; (IMF)
国际货币基金组织	guo2 ji4  huo4 bi4  ji1 jin1  zu3 zhi1	Internacia Mona Fonduso; (IMF)
国际联盟	guo2 ji4  lian2 meng2	Ligo de Nacioj; (1919-1946 KE)
国际特赦组织	guo2 ji4  te4 she4  zu3 zhi1	Amnestio Internacia; (AI)
国际刑事法庭	guo2 ji4  xing2 shi4  fa3 ting2	Internacia Krima Kortumo; (IKK)
国际原子能机构	guo2 ji4  yuan2 zi3 neng2  ji1 gou4	Internacia Atom-Energia Agentejo; (IAEA)
国际组织	guo2 ji4  zu3 zhi1	internacia organizaĵo
国际法	guo2 ji4 fa3	internacia juro; internacia leĝo
国家	guo2 jia1	lando
国联	guo2 lian2	(m-l) Ligo de Nacioj
过敏	guo2 min2	alergia
国王	guo2 wang2	reĝo
国语	guo2 yu3	mandarena; normĉina; "la nacia lingvo"
果树	guo3 shu4	(pla-sci) fruktarbo
过滤器	guo4 lv4 qi4	filtrilo
过去	guo4 qu4	pasinteco
过去分词	guo4 qu4  fen1 ci2	preterita participo (gramatiko)
过去式	guo4 qu4 shi4	preterita tempo (gramatiko)
过时	guo4 shi2	eksmoda
铪	ha1	(kem) hafnio; la elemento hafnio (Hf), atomnumero 72
哈迪斯	Ha1 di2 si1	Hadeso (helena mitologio)
哈尔滨	ha1 er3 bin1	Harbino; ĉefurbo de la ĉina provinco Hejlongĝjango
哈欠	ha1 qian4	oscedo
嗨	hai1	saluton
还	hai2	ankoraŭ
还没	hai2 mei2	ankoraŭ ne
还是	hai2 shi4	ankoraŭ
孩子	hai2 zi5	infano; ido
海岸	hai3 an4	marbordo
海报	hai3 bao4	afiŝo
海豹	hai3 bao4	foko (mambesto)
海边	hai3 bian1	marbordo
海胆	hai3 dan3	mar erinaco; eĥino
海盗	hai3 dao4	pirato
海底	hai3 di3	marfundo
海港	hai3 gang3	haveno
海格力斯	Hai3 ge2 li4 si1	Herakleo (helena mitologio)
海关	hai3 guan1	dogano
海龟	hai3 gui1	martestudo (reptilio)
海军	hai3 jun1	mararmeo
海口	hai3 kou3	Hajkou; ĉefurbo de la ĉina provinco Hajnano
海狸	hai3 li2	kastoro (mambesto)
海马	hai3 ma3	hipokampo (mambesto)
海绵	hai3 mian2	spongo
海南	hai3 nan2	Hajnano; provinco de Ĉinio
海南岛	hai3 nan2 dao3	Hajnano; la insulo Hajnano
海牛	hai3 niu2	sireno (mambesto)
海鸥	hai3 ou1	mevo (birdo)
海狮	hai3 shi1	marleono (mambesto)
海獭	hai3 ta3	mar-lutro (mambesto)
海棠	hai3 tang2	(pla-sci) sovaĝa pomarbo; (latine, Malus)
海棠树	hai3 tang2 shu4	(pla-sci) sovaĝa pomarbo; (latine, Malus)
海豚	hai3 tun2	delfeno (mambesto)
海王星	hai3 wang2 xing1	(ast) Neptuno
海卫一	hai3 wei4 yi1	(ast) Tritono; Neptuno I
海象	hai3 xiang4	rosmaro (mambesto)
海星	hai3 xing1	marstelo
海洋	hai3 yang2	maro
海芋	hai3 yu4	(pla-sci) kalao; kalafloro (latine, Zantedeschia aethiopica)
海芋花	hai3 yu4	(pla-sci) kalao; kalafloro (latine, Zantedeschia aethiopica)
海藻	hai3 zao3	(pla-sci) laminario
氦	hai4	(kem) heliumo; la elemento heliumo (He), atomnumero 2
害怕	hai4 pa4	tima
害羞	hai4 xiu1	sinĝena; sinĝenema
韩国	Han2 guo2	Koreio
韩国话	han2 guo2 hua4	la korea; la korea lingvo
韩国语	han2 guo2 yu3	la korea; la korea lingvo
寒冷	han2 leng3	malvarma; malvarmega
韩文	han2 wen2	la korea; la korea lingvo; "korea skribo"
含羞草	han2 xiu1 cao3	(pla-sci) mimozo; mimozfloro (latine, Mimosa pudica)
含义	han2 yi4	signifo (lingvistiko)
韩语	han2 yu3	la korea; la korea lingvo
汉	han4	ĉina
汉	han4	la Han-dinastio; Dinastio Han
汗	han4	(anat) ŝvito
颌	han4	(anat) makzelo
颌	han4	(anat) mandiblo
汉朝	han4 chao2	Han-dinastio; Dinastio Han; 206 a.KE-220 KE
汉城	Han4 cheng2	Seulo
颌骨	han4 gu3	(anat) mandiblo
旱金莲花	han4 jin1 lian2 hua1	(pla-sci) tropeolo; tropeolfloro (latine, Tropaeolum)
汉人	han4 ren2	hanĉino
汗衫	han4 shan1	subĉemizo
汗水	han4 shui3	(anat) ŝvito
汉语	han4 yu3	la ĉina; la ĉina lingvo; "la hanĉina lingvo"
汉字	han4 zi4	ĉina signo
航空公司	hang2 kong1  gong1 si1	aerlinio
航空邮件	hang2 kong1  you2 jian4	aerpoŝto
行业	hang2 ye4	profesio
杭州	hang2 zhou1	Hangĝoŭo; ĉefurbo de la ĉina provinco Ĝeĝjango
豪宅	hao2 zhai2	domego
豪猪	hao2 zhu1	histriko (mambesto)
好	hao3	bona
好不好	hao3 bu5 hao3	ĉu bona?
好吃	hao3 chi1	bongusta
好处	hao3 chu4	avantaĝo
好久	hao3 jiu3	longatempe
好痛	hao3 tong4	aj!
好玩	hao3 wan2	amuza
好像	hao3 xiang4	ŝajni; ŝajni ke
好笑	hao3 xiao4	ridiga
好用	hao3 yong4	utila
好运	hao3 yun4	bonŝanco
号	hao4	numero
浩劫	hao4 jie2	katastrofo
好客	hao4 ke4	gastama
号码	hao4 ma3	numero
好奇	hao4 qi2	scivola
喝	he1	trinki
喝酒	he1 jiu3	drinki; drinki alkoholon
喝醉	he1 zui4	ebriiĝi
喝醉了	he1 zui4 le5	ebria
和	he2	kaj
河	he2	la Flava Rivero
荷	he2	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
河	he2	rivero
和	he2	japana
核	he2	semo
河北	he2 bei3	Hebejo; provinco de Ĉinio
合唱团	he2 chang4 tuan2	ĥoro
核电厂	he2 dian4 chang3	atomkerna centralo; nuklea centralo
核电站	he2 dian4 zhan4	atomkerna centralo; nuklea centralo
荷尔蒙	he2 er3 meng2	hormono
荷尔蒙失衡	he2 er3 meng2  shi1 heng2	hormona malekvilibro
合法	he2 fa3	laŭleĝa
核反应	he2 fan3 ying4	(fiz) nuklea reakcio
合肥	he2 fei2	Hefejo; ĉefurbo de la ĉina provinco Anhujo
核分裂	he2 fen1 lie4	(fiz) atomkerna fisio; kernofendado; nuklea fendiĝo
核果	he2 guo3	kernofrukto
荷花	he2 hua1	(pla-sci) lotuso; lotusfloro (latine, Nelumbo nucifera)
核聚变	he2 ju4 bian4	(fiz) fuzio; nuklea kunfandiĝo
荷兰海芋	he2 lan2  hai3 yu4	(pla-sci) kalao; kalafloro (latine, Zantedeschia aethiopica)
荷兰石竹	he2 lan2  shi2 zhu2	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
荷兰石竹花	he2 lan2  shi2 zhu2 hua1	(pla-sci) dianto; diantfloro (latine, Dianthus caryophyllus)
荷兰文	he2 lan2 wen2	la nederlanda; la nederlanda lingvo
荷兰语	he2 lan2 yu3	la nederlanda; la nederlanda lingvo
合理	he2 li3	rezona
河流	he2 liu2	rivero
河马	he2 ma3	hipopotamo (mambesto)
河南	he2 nan2	Henano; provinco de Ĉinio
核能发电厂	he2 neng2  fa1 dian4 chang3	atomkerna centralo; nuklea centralo
和平	he2 ping2	paco
核融合	he2 rong2 he2	(fiz) fuzio; nuklea kunfandiĝo
合适	he2 shi4	konvena
核糖核酸	he2 tang2 he2 suan1	ribonukleata acido; RNA
核糖体	he2 tang2 ti3	ribosomo
核桃树	he2 tao2 shu4	(pla-sci) juglandarbo; (latine, Juglans regia)
和谐	he2 xie2	harmonia; harmonio
和约	he2 yue1	packontrakto
合约	he2 yue1	kontrakto
盒子	he2 zi5	skatolo; ujo
合作	he2 zuo4	kunlabori
鹤	he4	gruo (birdo)
赫耳墨斯	He4 er3 mo4 si1	Hermeso (helena mitologio)
赫斐斯托斯	He4 fei1 si1 tuo1 si1	Hefesto (helena mitologio)
赫拉	He4 la1	Hera (helena mitologio)
赫拉克勒斯	He4 la1 ke4 le4 si1	Herakleo (helena mitologio)
赫斯提亚	He4 si1 ti2 ya4	Hestia (helena mitologio)
黑	hei1	nigra
黑	hei1	Hejlongĝjango; mallongiga formo de Hejlongĝjango
黑暗	hei1 an4	malluma
黑板	hei1 ban3	nigra tabulo
黑刺李	hei1 ci4 li3	(pla-sci) prunelarbo; (latine, Prunus spinosa)
黑刺李树	hei1 ci4 li3 shu4	(pla-sci) prunelarbo; (latine, Prunus spinosa)
黑洞	hei1 dong4	(ast) nigra truo
黑客	hei1 ke4	kodumulo
黑龙江	hei1 long2 jiang1	Hejlongĝjango; provinco de Ĉinio
黑麦	hei1 mai4	sekalo
黑面包	hei1 mian4 bao1	sekala pano; sekalpano
黑色	hei1 se4	nigra
黑色幽默	hei1 se4  you1 mo4	nigra humuro
黑檀木	hei1 tan2 mu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
黑檀木树	hei1 tan2 mu4 shu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
黑檀树	hei1 tan2 shu4	(pla-sci) ebono; ebonarbo (latine, Diospyros ebenum)
黑心菊	hei1 xin1 ju2	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
黑心菊花	hei1 xin1 ju2 hua1	(pla-sci) rudbekio vila; rudbekifloro vila (latine, Rudbeckia hirta)
很	hen3	tre
很抱歉	hen3  bao4 qian4	mi tre bedaŭras; pardonu min
很麻烦	hen3  ma2 fan2	tre ĝena
很烦	hen3 fan2	tre ĝena
很久	hen3 jiu3	longtempe; longatempe
很疼	hen3 teng2	aj!
很痛	hen3 tong4	aj!
很像	hen3 xiang4	simila
很有意思	hen3 you3 yi4 si5	multsignifa; interesega
恒齿	heng2 chi3	restanta dento
横隔膜	heng2 ge2 mo2	(anat) diafragmo
恒星	heng2 xing1	stelo
訇	hong1	imamo
红	hong2	populara
红	hong2	ruĝa
红矮星	hong2 ai3 xing1	(ast) red dwarf
红豆杉	hong2 dou4 shan1	(pla-sci) taksuso; taksusarbo (latine, Taxus baccata)
红豆杉树	hong2 dou4 shan1 shu4	(pla-sci) taksuso; taksusarbo (latine, Taxus baccata)
红鹤	hong2 he4	flamengo;  fenikoptero (birdo)
红巨星	hong2 ju4 xing1	(ast) ruĝa giganto
虹膜	hong2 mo2	(anat) iriso
红瑞木	hong2 rui4 mu4	(pla-sci) kornuso; kornusarbo (latine, Cornus)
红色	hong2 se4	ruĝa
红杉	hong2 shan1	(pla-sci) ruĝligno; ruĝa ligno; sekvojo; sekvojarbo (latine, Sequoia sempervirens)
红杉树	hong2 shan1 shu4	(pla-sci) ruĝligno; ruĝa ligno; sekvojo; sekvojarbo (latine, Sequoia sempervirens)
红十字会	hong2 shi2 zi4 hui4	Ruĝa Kruco
红树	hong2 shu4	(pla-sci) mangrovo
红树林	hong2 shu4 lin2	(pla-sci) mangrovo
红细胞	hong2 xi4 bao1	(anat) eritrocito; ruĝa sanga korpusklo
红新月会	hong2 xin1 yue4 hui4	Ruĝa Krescento
红星	hong2 xing1	(ast) ruĝa stelo
红血球	hong2 xue4 qiu2	(anat) eritrocito; ruĝa sanga korpusklo
猴	hou2	simio (mambesto)
喉	hou2	(anat) laringo
喉	hou2	(anat) gorĝo
喉结	hou2 jie2	(anat) adampomo; gorĝa pomo
喉咙	hou2 long2	(anat) gorĝo
猴面包树	hou2 mian4 bao1 shu4	(pla-sci) baobabo; baobabarbo (latine, Adansonia digitata)
喉头	hou2 tou5	(anat) laringo
猴子	hou2 zi5	simio (mambesto)
后	hou4	malantaŭ
后	hou4	damo (ŝako)
厚	hou4	dika
后	hou4	post
后代	hou4 dai4	idaro; estontaj generacioj
后置词	hou4 zhi4 ci2	postpozicio (gramatiko)
后缀	hou4 zhui4	sufikso (gramatiko)
忽必烈	Hu1 bi4 lie4	Kublaj Ĥano
呼格	hu1 ge2	vokativo; vokativa kazo (gramatiko)
呼和浩特	hu1 he2 hao4 te4	Huhehaŭteo; ĉefurbo de la ĉina provinco Interna Mongolio
忽然	hu1 ran2	subite; subita
忽视	hu1 shi4	ignori
呼吸	hu1 xi1	spiri
呼吸系统	hu1 xi1  xi4 tong3	spira sistemo
胡	hu2	(anat) barbo
狐	hu2	vulpo (mambesto)
蝴	hu2	papilio (insekto)
葫	hu2	(pla-sci) botelkukurbo; (latine, Lagenaria siceraria)
鹕	hu2	pelikano (birdo)
湖北	hu2 bei3	Hubejo; provinco de Ĉinio
蝴蝶	hu2 die2	papilio (insekto)
槲寄生	hu2 ji4 sheng1	(pla-sci) visko; (latine, Viscum album)
狐狸	hu2 li2	vulpo (mambesto)
葫芦	hu2 lu5	(pla-sci) botelkukurbo; (latine, Lagenaria siceraria)
湖南	hu2 nan2	Hunano; provinco de Ĉinio
胡桃树	hu2 tao2 shu4	(pla-sci) juglandarbo; (latine, Juglans regia)
胡子	hu2 zi5	(anat) barbo
胡子	hu2 zi5	(anat) lipharo
虎	hu3	tigro (mambesto)
虎鲸	hu3 jing1	orko; granda orcino; orcino (mambesto)
户	hu4	pordo
沪	hu4	Ŝanŝjio; mallongiga formo de Ŝanŝjio
互联网	hu4 lian2 wang3	interreto
护士	hu4 shi4	flegisto
互相…	hu4 xiang1	... unu la alian
互相	hu4 xiang1	unu la alian
护照	hu4 zhao4	pasporto
花	hua1	floro
花瓣	hua1 ban4	(plantoj) petalo
花苞	hua1 bao1	(plantoj) burĝono
花豹	hua1 bao4	leopardo (mambesto)
花朵	hua1 duo3	floro
花粉	hua1 fen3	(plantoj) poleno
花蕾	hua1 lei3	(plantoj) burĝono
花梨木	hua1 li2 mu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
花梨木树	hua1 li2 mu4 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
花梨树	hua1 li2 shu4	(pla-sci) palisandro; (latine, Dalbergia nigra)
花楸	hua1 qiu1	(pla-sci) sorparbo; (latine, Sorbus aucuparia)
花楸树	hua1 qiu1 shu4	(pla-sci) sorparbo; (latine, Sorbus aucuparia)
花园	hua1 yuan2	ĝardeno
华	hua2	Ĉinio; ĉina
华沙条约组织	hua2 sha1  tiao2 yue1  zu3 zhi1	Varsovia Traktato; Varsovia Kontrakto; (1955-1991 KE)
华语	hua2 yu3	la ĉina lingvo; ĉina; mandarena; "la ĉinula lingvo"
华约	hua2 yue1	(m-l) Varsovia Traktato; Varsovia Kontrakto
